shipment_id,batch_id,customer_id,ship_date,qty_units,shipment_status
SH200091,B100248,RC120,2023-01-18 13:32:00,3202,Delayed
SH200092,B100972,RC100,2023-05-02 10:39:00,4908,Delivered
SH200093,B101617,RC111,2024-06-20 12:32:00,1872,Delivered
SH200094,B100395,RC112,2024-09-27 14:07:00,7066,In Transit
SH200095,B102552,RC108,2024-09-18 08:14:00,3307,Delivered
SH200096,B100736,RC122,2023-03-07 23:14:00,640,Delivered
SH200097,B100866,RC103,2023-10-25 11:02:00,2430,Delivered
SH200098,B101167,RC100,2023-12-22 19:44:00,6830,Delivered
SH200099,B100248,RC120,2024-07-07 01:18:00,2500,Delivered
SH200100,B100524,RC100,2023-10-21 07:03:00,760,Delivered
SH200101,B100961,RC111,2024-04-19 21:51:00,6805,Delivered
SH200102,B100620,RC107,2025-01-10 03:11:00,3437,Delivered
SH200103,B101273,RC116,2023-03-14 14:09:00,4634,Delivered
SH200104,B101921,RC118,2023-03-24 20:19:00,5787,Delayed
SH200105,B101836,RC121,2023-07-29 20:09:00,6671,Delivered
SH200106,B102608,RC123,2024-03-29 12:30:00,2607,Delivered
SH200107,B100454,RC105,2024-07-26 23:39:00,6594,Delivered
SH200108,B101921,RC112,2023-10-09 15:23:00,1778,Delivered
SH200109,B100011,RC120,2024-06-28 16:33:00,3859,Delivered
SH200110,B100012,RC105,2024-05-11 23:06:00,7940,Delayed
SH200111,B102529,RC102,2023-06-22 17:32:00,7824,Delayed
SH200112,B101126,RC118,2023-09-19 10:24:00,3991,Delayed
SH200113,B101365,RC108,2023-06-13 23:11:00,4392,Delivered
SH200114,B102615,RC107,2023-07-22 16:41:00,3420,Delivered
SH200115,B101720,RC100,2025-04-05 15:40:00,6627,Delivered
SH200116,B102073,RC104,2024-10-06 02:13:00,6059,Delivered
SH200117,B102403,RC109,2023-08-26 11:03:00,967,Delivered
SH200118,B101972,RC100,2025-01-14 12:55:00,6694,Delivered
SH200119,B102289,RC100,2023-01-31 17:00:00,7789,In Transit
SH200120,B100381,RC110,2023-04-10 16:08:00,4497,Delivered
SH200121,B102585,RC115,2023-03-28 17:47:00,7139,Delivered
SH200122,B101241,RC106,2025-03-10 10:21:00,1993,Delivered
SH200123,B100965,RC111,2024-10-26 23:30:00,2801,In Transit
SH200124,B100494,RC101,2024-03-13 05:45:00,2507,Delivered
SH200125,B100581,RC105,2025-01-01 10:19:00,5897,Delivered
SH200126,B100461,RC123,2023-01-23 16:09:00,3693,In Transit
SH200127,B100038,RC111,2024-09-21 03:51:00,2077,Delivered
SH200128,B100834,RC107,2023-09-25 05:54:00,5086,Delivered
SH200129,B101188,RC102,2025-01-22 11:56:00,5037,Delivered
SH200130,B102837,RC123,2023-03-14 11:05:00,5586,Delivered
SH200131,B101819,RC124,2023-11-30 19:35:00,522,Delivered
SH200132,B102280,RC101,2024-08-07 01:39:00,7687,Delivered
SH200133,B101699,RC118,2023-05-25 07:34:00,2931,Delivered
SH200134,B102402,RC111,2024-05-15 20:52:00,7181,Delivered
SH200135,B102636,RC124,2025-02-01 00:38:00,7384,Delivered
SH200136,B102695,RC102,2024-03-02 13:41:00,4374,Delivered
SH200137,B102483,RC104,2023-01-12 08:49:00,5126,Delivered
SH200138,B102082,RC112,2025-03-15 21:35:00,2673,Delivered
SH200139,B101489,RC104,2025-06-17 05:03:00,5835,Delivered
SH200140,B100512,RC111,2024-05-10 08:57:00,5095,Delivered
SH200141,B100368,RC109,2024-11-13 02:23:00,4743,Delivered
SH200142,B102815,RC110,2024-10-10 22:38:00,1014,In Transit
SH200143,B101501,RC109,2023-12-09 06:33:00,2643,Delivered
SH200144,B102430,RC104,2023-07-20 13:59:00,3528,Delivered
SH200145,B102758,RC116,2024-07-14 17:43:00,2626,Delivered
SH200146,B100228,RC118,2023-08-20 04:04:00,2019,Delivered
SH200147,B102642,RC122,2024-05-02 22:57:00,3784,Delivered
SH200148,B100848,RC120,2023-05-11 11:41:00,1287,Delivered
SH200149,B102022,RC112,2023-05-25 01:52:00,3170,Delivered
SH200150,B101376,RC122,2025-05-28 01:43:00,5703,Delivered
SH200151,B101976,RC117,2025-06-01 16:47:00,2232,Delivered
SH200152,B101468,RC100,2025-04-19 19:22:00,3339,Delivered
SH200153,B102487,RC119,2024-12-26 13:30:00,7374,Delivered
SH200154,B102831,RC108,2024-01-06 02:30:00,4387,Delivered
SH200155,B102061,RC115,2024-11-17 18:13:00,1374,Delivered
SH200156,B101239,RC114,2024-11-14 06:01:00,2860,Delivered
SH200157,B101872,RC100,2023-06-14 06:13:00,3615,Delivered
SH200158,B100497,RC121,2024-12-06 04:36:00,4674,Delivered
SH200159,B101205,RC105,2023-07-27 15:41:00,7979,Delivered
SH200160,B102230,RC105,2023-12-30 10:25:00,3211,Delivered
SH200161,B101198,RC112,2024-03-23 22:46:00,915,Delivered
SH200162,B102990,RC111,2024-02-20 17:27:00,5792,Delivered
SH200163,B101459,RC107,2024-03-08 01:16:00,7452,Delivered
SH200164,B102643,RC109,2025-05-02 23:29:00,1725,Delivered
SH200165,B102645,RC111,2023-01-22 20:38:00,709,Delivered
SH200166,B100698,RC118,2024-08-13 00:14:00,934,Delivered
SH200167,B101924,RC123,2023-11-08 17:28:00,750,Delivered
SH200168,B102849,RC116,2024-05-18 07:22:00,7989,In Transit
SH200169,B102476,RC104,2025-04-13 05:52:00,5230,Delivered
SH200170,B101462,RC116,2023-02-20 02:20:00,3035,Delivered
SH200171,B101508,RC112,2024-01-22 23:08:00,1805,Delivered
SH200172,B102385,RC114,2023-06-14 09:57:00,6991,Delivered
SH200173,B101609,RC111,2024-05-20 04:04:00,5333,Delivered
SH200174,B101626,RC106,2024-03-02 16:23:00,2017,Delivered
SH200175,B102096,RC120,2023-05-05 13:20:00,625,Delivered
SH200176,B102962,RC102,2023-07-26 11:00:00,5192,Delivered
SH200177,B102083,RC121,2023-06-05 12:58:00,6175,Delivered
SH200178,B101511,RC115,2024-09-18 06:46:00,2313,Delayed
SH200179,B100658,RC124,2024-12-02 04:51:00,7851,Delivered
SH200180,B100869,RC117,2024-10-24 17:46:00,1117,Delivered
SH200181,B102780,RC118,2023-04-25 10:26:00,1897,Delivered
SH200182,B102516,RC103,2024-08-11 16:44:00,5116,Delivered
SH200183,B100674,RC101,2023-06-08 09:55:00,7997,Delivered
SH200184,B101073,RC109,2024-07-09 12:14:00,2908,Delivered
SH200185,B101974,RC106,2024-08-06 06:00:00,1943,Delivered
SH200186,B101914,RC112,2023-12-03 04:55:00,502,Delivered
SH200187,B101087,RC108,2023-08-26 08:17:00,5291,Delivered
SH200188,B102113,RC118,2023-04-18 07:02:00,5457,Delivered
SH200189,B100844,RC113,2024-09-05 01:30:00,6718,Delayed
SH200190,B102689,RC116,2024-09-07 18:55:00,1529,Delivered
SH200191,B102979,RC102,2025-04-02 01:25:00,796,Delivered
SH200192,B100813,RC123,2024-09-04 09:23:00,4523,Delivered
SH200193,B102038,RC118,2024-09-16 12:35:00,1659,Delivered
SH200194,B101665,RC110,2023-07-22 19:43:00,3931,Delivered
SH200195,B100850,RC108,2023-05-18 20:11:00,4260,Delivered
SH200196,B101890,RC102,2025-03-05 01:18:00,5391,Delivered
SH200197,B102181,RC120,2024-10-17 14:36:00,6066,In Transit
SH200198,B101524,RC112,2025-04-19 09:20:00,5349,Delivered
SH200199,B102257,RC118,2024-12-06 05:04:00,4483,Delivered
SH200200,B102848,RC123,2025-04-17 21:42:00,2246,Delivered
SH200201,B101088,RC105,2023-01-10 09:09:00,4752,Delivered
SH200202,B101083,RC107,2024-03-31 04:08:00,1663,Delivered
SH200203,B102799,RC104,2025-03-05 05:03:00,1624,Delayed
SH200204,B102378,RC115,2024-09-16 13:11:00,814,Delivered
SH200205,B102908,RC112,2023-03-26 14:16:00,710,In Transit
SH200206,B102286,RC124,2023-08-11 08:02:00,1403,Delivered
SH200207,B100796,RC116,2023-11-22 15:22:00,4123,Delivered
SH200208,B101708,RC118,2024-02-13 22:40:00,7322,Delivered
SH200209,B102192,RC108,2023-08-29 05:56:00,6871,In Transit
SH200210,B101103,RC103,2024-07-04 03:40:00,4557,In Transit
SH200211,B100605,RC110,2024-01-11 04:21:00,6863,Delivered
SH200212,B102199,RC111,2024-08-09 12:12:00,1837,Delivered
SH200213,B100655,RC122,2024-10-14 18:38:00,2679,Delivered
SH200214,B102901,RC121,2023-02-17 11:41:00,5148,Delivered
SH200215,B102317,RC101,2025-01-17 15:27:00,5759,In Transit
SH200216,B102406,RC109,2024-05-22 18:33:00,7224,Delivered
SH200217,B102835,RC116,2025-05-17 10:59:00,1368,Delivered
SH200218,B102758,RC124,2024-10-28 01:15:00,5477,Delivered
SH200219,B101487,RC114,2024-01-29 11:43:00,2016,Delivered
SH200220,B101100,RC105,2023-05-13 03:17:00,6484,Delivered
SH200221,B100942,RC122,2025-02-14 23:22:00,5903,Delivered
SH200222,B102175,RC100,2024-12-17 23:52:00,6160,Delivered
SH200223,B100846,RC110,2024-01-04 22:17:00,1603,Delivered
SH200224,B102106,RC104,2023-11-26 17:07:00,6142,Delivered
SH200225,B101361,RC118,2025-05-15 19:53:00,1484,Delivered
SH200226,B100691,RC114,2025-06-06 08:33:00,1494,In Transit
SH200227,B101920,RC103,2025-04-04 21:42:00,3419,Delayed
SH200228,B100451,RC109,2024-12-18 00:41:00,5558,Delivered
SH200229,B102756,RC118,2024-02-18 12:15:00,5966,Delivered
SH200230,B100854,RC111,2024-07-28 00:41:00,3412,Delivered
SH200231,B102242,RC116,2024-12-05 19:40:00,2193,Delivered
SH200232,B101684,RC111,2024-03-21 06:52:00,7043,In Transit
SH200233,B102638,RC111,2023-09-23 03:02:00,2327,Delivered
SH200234,B102239,RC120,2024-09-21 08:44:00,5643,Delivered
SH200235,B102276,RC109,2024-01-03 22:24:00,6743,Delivered
SH200236,B101608,RC111,2024-02-03 02:22:00,5806,Delivered
SH200237,B101291,RC107,2023-06-06 07:57:00,7620,Delivered
SH200238,B100290,RC115,2024-08-19 09:22:00,591,In Transit
SH200239,B102860,RC120,2025-01-09 02:35:00,5618,Delivered
SH200240,B101656,RC110,2024-10-02 07:13:00,2004,Delivered
SH200241,B101821,RC104,2024-01-19 00:38:00,719,Delivered
SH200242,B102709,RC103,2024-08-15 12:29:00,2821,Delivered
SH200243,B101359,RC112,2025-04-14 11:29:00,5861,In Transit
SH200244,B100125,RC102,2024-03-31 11:49:00,515,Delivered
SH200245,B102035,RC115,2025-01-02 14:19:00,3133,Delivered
SH200246,B100519,RC103,2024-09-26 23:01:00,4832,Delivered
SH200247,B102260,RC120,2024-05-08 00:58:00,1022,Delivered
SH200248,B102037,RC118,2024-09-16 13:04:00,5486,Delivered
SH200249,B101714,RC108,2024-04-07 03:20:00,7574,Delivered
SH200250,B101253,RC112,2023-08-30 04:22:00,2798,Delivered
SH200251,B101450,RC107,2025-03-08 20:15:00,7764,In Transit
SH200252,B100561,RC103,2024-06-11 01:27:00,7493,Delivered
SH200253,B102741,RC101,2025-06-11 14:51:00,538,Delivered
SH200254,B100801,RC120,2024-06-09 19:57:00,851,Returned
SH200255,B101523,RC104,2023-04-09 23:35:00,7607,Delivered
SH200256,B100263,RC120,2023-01-24 06:18:00,7109,Delivered
SH200257,B101614,RC102,2024-01-27 03:09:00,6080,Delivered
SH200258,B102743,RC109,2025-02-07 13:40:00,1074,Delivered
SH200259,B102809,RC105,2023-03-08 12:55:00,1281,Delivered
SH200260,B101728,RC121,2024-02-17 19:19:00,6261,Delivered
SH200261,B102883,RC115,2023-10-13 17:56:00,7767,Delivered
SH200262,B100191,RC108,2024-07-28 19:53:00,4170,Delivered
SH200263,B101955,RC115,2023-12-12 16:13:00,4260,Delivered
SH200264,B102374,RC118,2023-08-10 00:41:00,5149,Delivered
SH200265,B101284,RC100,2024-04-30 17:44:00,5538,Delivered
SH200266,B101501,RC124,2023-08-31 17:39:00,938,Delivered
SH200267,B100434,RC121,2023-11-04 10:33:00,5985,Delivered
SH200268,B101435,RC109,2024-08-24 02:26:00,829,Delivered
SH200269,B100298,RC113,2024-07-06 00:40:00,7991,Delivered
SH200270,B102583,RC102,2025-01-15 14:30:00,985,Delivered
SH200271,B100913,RC114,2023-07-10 21:35:00,4462,Delivered
SH200272,B100800,RC109,2023-05-19 02:01:00,4671,Delivered
SH200273,B100029,RC111,2023-07-16 03:26:00,1414,Delivered
SH200274,B100113,RC102,2024-11-28 03:23:00,4694,Delivered
SH200275,B102544,RC104,2023-03-24 19:19:00,6211,Delivered
SH200276,B101113,RC110,2024-09-19 18:48:00,1276,Delivered
SH200277,B100671,RC117,2023-05-22 18:50:00,682,Delivered
SH200278,B102951,RC124,2023-07-11 15:23:00,4525,Delivered
SH200279,B100478,RC104,2024-08-04 14:30:00,5513,Delivered
SH200280,B100300,RC112,2025-06-18 10:41:00,1850,Delivered
SH200281,B101476,RC101,2023-11-04 19:13:00,5791,Delivered
SH200282,B100060,RC108,2023-09-28 09:08:00,4229,Delivered
SH200283,B101917,RC122,2023-06-23 02:38:00,7925,In Transit
SH200284,B100452,RC122,2025-06-17 06:23:00,2095,In Transit
SH200285,B100121,RC122,2024-11-23 01:27:00,878,Delivered
SH200286,B102695,RC101,2023-08-23 21:31:00,3294,Delivered
SH200287,B100382,RC106,2023-03-22 17:10:00,3683,Delivered
SH200288,B101449,RC124,2025-05-25 22:31:00,3422,Delivered
SH200289,B102879,RC100,2023-03-05 14:31:00,1431,Delivered
SH200290,B102911,RC113,2025-05-25 20:19:00,1929,Delivered
SH200291,B101830,RC123,2025-06-15 14:05:00,4299,Delivered
SH200292,B102570,RC108,2023-09-13 04:31:00,7280,In Transit
SH200293,B102798,RC104,2024-09-30 16:24:00,4360,Delivered
SH200294,B102001,RC121,2024-12-18 19:49:00,5902,Delivered
SH200295,B100632,RC119,2024-12-13 03:35:00,5050,Delivered
SH200296,B100909,RC120,2024-01-17 18:41:00,2596,Delivered
SH200297,B102400,RC118,2025-05-22 06:01:00,7727,Delivered
SH200298,B102876,RC103,2025-05-01 21:21:00,3843,In Transit
SH200299,B100438,RC122,2025-03-16 01:00:00,7546,Delivered
SH200300,B102625,RC109,2024-10-06 07:23:00,5030,Delivered
SH200301,B101862,RC105,2023-03-31 04:36:00,7220,Delivered
SH200302,B100853,RC117,2024-05-17 23:00:00,5329,Delivered
SH200303,B102412,RC118,2025-06-05 15:48:00,6227,Delayed
SH200304,B100154,RC106,2024-07-16 03:29:00,4481,Delivered
SH200305,B100504,RC114,2025-03-25 16:04:00,3672,Delivered
SH200306,B102135,RC108,2023-08-17 15:14:00,5834,Delayed
SH200307,B100273,RC118,2024-07-25 00:06:00,2685,Delivered
SH200308,B102375,RC101,2025-02-27 10:12:00,3948,Delivered
SH200309,B101939,RC113,2023-01-08 22:23:00,2676,Delivered
SH200310,B101787,RC122,2024-04-19 23:51:00,2173,Delivered
SH200311,B101437,RC105,2023-06-17 04:28:00,6952,Delivered
SH200312,B101076,RC100,2025-06-11 13:59:00,2575,Delivered
SH200313,B101614,RC120,2023-01-31 05:46:00,7787,Delivered
SH200314,B102982,RC111,2024-03-31 17:25:00,1282,Returned
SH200315,B102081,RC119,2024-01-13 00:36:00,5070,Delivered
SH200316,B102335,RC101,2023-09-09 13:01:00,4768,Delivered
SH200317,B102541,RC117,2024-12-04 15:53:00,1566,Delivered
SH200318,B102377,RC108,2024-07-19 12:03:00,7088,Delivered
SH200319,B101911,RC112,2023-08-26 03:31:00,4497,In Transit
SH200320,B102598,RC105,2024-07-02 14:57:00,925,Delivered
SH200321,B102493,RC101,2023-02-08 17:29:00,551,In Transit
SH200322,B101037,RC123,2024-07-22 07:02:00,4027,In Transit
SH200323,B102921,RC105,2025-01-02 08:32:00,1652,Delivered
SH200324,B100549,RC104,2024-12-27 21:00:00,6636,Delivered
SH200325,B102966,RC124,2024-12-26 18:48:00,3723,Delivered
SH200326,B100031,RC114,2024-01-17 03:50:00,3386,Delivered
SH200327,B101178,RC114,2023-09-15 19:11:00,4537,Delivered
SH200328,B102192,RC121,2025-05-27 04:08:00,1305,Delivered
SH200329,B100725,RC105,2025-04-28 20:33:00,6363,Delivered
SH200330,B100655,RC110,2024-06-06 03:32:00,3419,Delivered
SH200331,B102588,RC107,2024-11-25 21:17:00,1684,In Transit
SH200332,B102748,RC102,2024-09-07 07:43:00,6862,Delivered
SH200333,B100991,RC122,2025-01-24 23:20:00,7875,In Transit
SH200334,B100851,RC113,2024-02-24 23:09:00,4861,Delivered
SH200335,B102418,RC102,2023-12-14 02:15:00,7716,Delivered
SH200336,B102123,RC111,2023-11-15 17:44:00,5147,Delivered
SH200337,B100604,RC124,2024-01-10 05:12:00,4415,Delivered
SH200338,B100501,RC111,2023-05-08 00:38:00,4775,Delivered
SH200339,B100524,RC106,2025-05-26 00:23:00,4862,In Transit
SH200340,B100266,RC102,2023-05-17 23:58:00,712,Delivered
SH200341,B101301,RC103,2023-10-05 05:05:00,2245,Delivered
SH200342,B102752,RC106,2023-09-19 17:50:00,3463,Delivered
SH200343,B101175,RC117,2024-07-14 09:21:00,5918,Delivered
SH200344,B100656,RC105,2024-04-13 21:51:00,4698,Delivered
SH200345,B100244,RC116,2024-11-04 12:29:00,5983,Delivered
SH200346,B102330,RC113,2023-06-28 10:23:00,3173,Delivered
SH200347,B102875,RC108,2023-09-01 15:11:00,5089,Delivered
SH200348,B100493,RC111,2024-08-24 13:25:00,4213,Delivered
SH200349,B100972,RC124,2024-11-14 03:30:00,3800,Delivered
SH200350,B100944,RC107,2024-08-26 07:53:00,5023,In Transit
SH200351,B100347,RC105,2025-06-16 23:47:00,4868,Delivered
SH200352,B100640,RC111,2023-02-21 09:05:00,1630,Delivered
SH200353,B100740,RC109,2025-05-11 20:57:00,4097,In Transit
SH200354,B101235,RC100,2024-12-10 03:02:00,6212,Delivered
SH200355,B100219,RC124,2025-04-02 17:18:00,6923,In Transit
SH200356,B102448,RC115,2023-09-17 00:27:00,7949,Delivered
SH200357,B101683,RC101,2024-11-12 11:24:00,3469,Delivered
SH200358,B102085,RC111,2025-05-26 21:00:00,5435,Delivered
SH200359,B102381,RC120,2023-02-12 05:36:00,7052,Delivered
SH200360,B100058,RC102,2025-06-16 20:46:00,6115,Delivered
SH200361,B102010,RC105,2024-01-26 14:47:00,5108,Delivered
SH200362,B100510,RC117,2023-01-13 22:03:00,2078,Delayed
SH200363,B101197,RC113,2023-01-23 11:16:00,7402,Delivered
SH200364,B102841,RC104,2024-08-29 08:35:00,3816,Delivered
SH200365,B102354,RC123,2024-12-10 17:38:00,581,Delivered
SH200366,B102987,RC123,2024-09-17 00:18:00,3367,Delivered
SH200367,B101259,RC116,2023-04-28 02:32:00,7164,Delivered
SH200368,B101811,RC121,2023-04-05 07:41:00,1595,Delivered
SH200369,B100020,RC115,2025-03-01 08:33:00,7039,Delivered
SH200370,B101191,RC101,2023-01-18 23:53:00,6569,Delayed
SH200371,B101222,RC105,2023-06-03 07:20:00,5910,Delivered
SH200372,B102663,RC117,2024-01-21 23:14:00,6069,Delivered
SH200373,B100347,RC115,2023-01-26 14:48:00,3928,Delivered
SH200374,B100621,RC118,2024-06-30 17:54:00,4496,Delivered
SH200375,B100442,RC113,2023-12-12 21:45:00,5474,Delivered
SH200376,B101255,RC107,2024-08-14 16:13:00,4847,Delayed
SH200377,B100425,RC123,2023-11-08 18:42:00,7653,Delivered
SH200378,B101619,RC102,2024-01-02 22:50:00,4206,Delivered
SH200379,B100897,RC109,2024-03-13 18:18:00,6669,Delivered
SH200380,B101544,RC121,2023-04-27 19:27:00,4244,Delivered
SH200381,B100990,RC111,2023-05-06 23:30:00,2656,Delivered
SH200382,B102792,RC113,2023-06-04 18:38:00,2734,Delivered
SH200383,B101741,RC104,2023-02-06 15:45:00,5839,Delivered
SH200384,B101154,RC108,2025-03-16 21:24:00,3393,Delivered
SH200385,B102802,RC100,2023-09-26 19:22:00,3365,Delivered
SH200386,B101104,RC104,2025-01-28 22:01:00,1199,In Transit
SH200387,B101763,RC109,2024-03-14 19:23:00,6532,Delivered
SH200388,B102347,RC103,2023-02-17 06:00:00,7889,Delivered
SH200389,B102530,RC110,2025-06-17 15:53:00,4507,Delivered
SH200390,B102542,RC119,2025-03-20 02:33:00,7409,Delivered
SH200391,B102935,RC114,2024-08-18 11:02:00,2611,Delivered
SH200392,B100442,RC118,2023-01-16 01:17:00,1701,Delivered
SH200393,B101580,RC119,2023-12-28 21:12:00,1777,Delivered
SH200394,B102395,RC111,2025-02-23 17:20:00,635,Delivered
SH200395,B100307,RC107,2023-01-02 03:24:00,3435,In Transit
SH200396,B102189,RC101,2025-01-25 15:45:00,6727,Delivered
SH200397,B100146,RC117,2023-04-17 05:17:00,4004,Delivered
SH200398,B102377,RC114,2024-01-10 01:31:00,4908,Delivered
SH200399,B102529,RC110,2024-08-18 15:02:00,6857,Delivered
SH200400,B102201,RC109,2024-08-11 17:08:00,4654,Delivered
SH200401,B101899,RC101,2025-03-09 03:45:00,7042,Delivered
SH200402,B101043,RC117,2023-10-31 02:53:00,3101,In Transit
SH200403,B101481,RC117,2023-05-25 15:41:00,2484,In Transit
SH200404,B102083,RC119,2023-01-19 05:23:00,5213,In Transit
SH200405,B102189,RC116,2024-10-07 10:44:00,2593,Delivered
SH200406,B100313,RC104,2024-06-04 07:02:00,3976,Delivered
SH200407,B100009,RC122,2023-05-24 04:27:00,2879,Delivered
SH200408,B102673,RC103,2025-02-04 13:04:00,1749,Delivered
SH200409,B102562,RC112,2023-06-14 09:44:00,7315,In Transit
