batch_id,plant_id,line_id,sku_id,production_start,planned_qty_units,actual_qty_units,defect_units,batch_status
B100087,P02,L006,SKU506,2024-03-20 02:59:00,19940,20334,1159,Scrapped
B100088,P04,L008,SKU505,2023-05-10 22:59:00,16080,15787,290,Reworked
B100089,P04,L015,SKU511,2023-11-16 23:12:00,11516,11100,586,Scrapped
B100090,P02,L011,SKU503,2024-04-17 02:07:00,10390,9944,938,Completed
B100091,P04,L013,SKU514,2023-09-05 09:20:00,8988,9083,743,Completed
B100092,P04,L024,SKU502,2024-09-26 13:17:00,16888,16923,1227,Reworked
B100093,P02,L008,SKU506,2025-06-01 00:16:00,9069,9079,285,Completed
B100094,P04,L030,SKU504,2023-07-05 08:20:00,12307,12080,277,Completed
B100095,P02,L025,SKU509,2023-08-16 00:37:00,3729,3761,31,Completed
B100096,P01,L006,SKU510,2023-04-24 14:38:00,7711,7324,296,Completed
B100097,P03,L011,SKU513,2024-10-15 03:18:00,6790,6724,234,Reworked
B100098,P03,L006,SKU511,2024-02-20 13:09:00,9830,9441,417,Completed
B100099,P01,L009,SKU503,2023-09-13 09:10:00,11038,10817,189,Reworked
B100100,P04,L012,SKU503,2023-07-17 06:23:00,14896,15191,625,Reworked
B100101,P01,L005,SKU513,2023-03-05 10:34:00,9773,9953,303,Reworked
B100102,P04,L001,SKU507,2024-03-04 12:59:00,4706,4570,82,Completed
B100103,P01,L015,SKU501,2024-09-06 22:46:00,11810,11542,1297,Reworked
B100104,P04,L023,SKU512,2023-07-31 12:37:00,2984,3013,20,Completed
B100105,P04,L010,SKU509,2023-01-02 11:13:00,17283,17603,475,Scrapped
B100106,P04,L028,SKU500,2024-03-01 23:47:00,15870,15836,335,Scrapped
B100107,P03,L012,SKU511,2024-08-31 04:10:00,6054,5609,175,Completed
B100108,P02,L029,SKU509,2023-11-07 11:56:00,6738,6416,38,Completed
B100109,P03,L008,SKU509,2023-08-14 08:08:00,2497,2521,164,Scrapped
B100110,P02,L018,SKU512,2023-05-19 20:42:00,8559,8531,219,Completed
B100111,P04,L025,SKU507,2024-11-02 11:51:00,2688,2672,153,Scrapped
B100112,P03,L002,SKU506,2025-02-14 09:49:00,18854,18604,147,Completed
B100113,P02,L030,SKU509,2024-11-23 18:36:00,4415,4245,4,Completed
B100114,P03,L012,SKU502,2024-04-11 08:50:00,13868,13317,382,Completed
B100115,P03,L016,SKU502,2024-10-13 16:42:00,12268,12278,524,Scrapped
B100116,P01,L021,SKU512,2023-12-24 05:24:00,6263,5945,55,Completed
B100117,P01,L021,SKU503,2023-01-23 00:50:00,16547,16356,752,Completed
B100118,P01,L001,SKU507,2023-11-27 19:39:00,3959,3929,158,Reworked
B100119,P01,L028,SKU504,2024-09-25 08:42:00,17962,18042,313,Completed
B100120,P02,L020,SKU503,2024-08-05 14:34:00,15326,14590,183,Completed
B100121,P03,L032,SKU508,2025-06-10 03:08:00,13432,13353,100,Scrapped
B100122,P03,L016,SKU512,2025-06-16 17:57:00,17833,16596,807,Completed
B100123,P02,L020,SKU506,2023-08-07 08:42:00,9256,8643,45,Completed
B100124,P04,L015,SKU502,2023-01-09 14:34:00,7069,6798,50,Completed
B100125,P03,L029,SKU503,2023-09-04 19:33:00,4781,4424,286,Completed
B100126,P01,L027,SKU502,2025-02-27 12:37:00,18638,18913,739,Scrapped
B100127,P04,L030,SKU513,2025-01-02 04:10:00,9225,9318,143,Scrapped
B100128,P03,L017,SKU504,2023-03-30 21:04:00,16929,15657,542,Scrapped
B100129,P03,L026,SKU505,2023-05-25 08:34:00,7983,8013,192,Completed
B100130,P03,L012,SKU501,2024-05-22 04:08:00,19189,18630,114,Completed
B100131,P03,L015,SKU506,2024-08-17 12:36:00,17660,17486,979,Completed
B100132,P01,L025,SKU513,2025-06-03 02:25:00,7544,7609,1,Completed
B100133,P03,L003,SKU506,2024-11-10 12:34:00,10760,10520,428,Completed
B100134,P04,L023,SKU509,2023-07-10 16:04:00,16291,15177,558,Reworked
B100135,P02,L001,SKU502,2023-02-03 10:40:00,6071,5586,49,Completed
B100136,P03,L019,SKU502,2024-07-24 06:05:00,2426,2352,42,Reworked
B100137,P01,L016,SKU510,2024-05-13 09:15:00,7198,7305,51,Completed
B100138,P02,L015,SKU500,2025-04-09 13:53:00,12630,12342,440,Reworked
B100139,P02,L016,SKU506,2024-06-02 06:56:00,4456,4265,593,Completed
B100140,P04,L016,SKU504,2024-03-27 02:47:00,8001,7385,69,Reworked
B100141,P01,L014,SKU500,2023-10-01 02:21:00,18534,18747,1876,Scrapped
B100142,P02,L015,SKU507,2023-03-19 15:24:00,3351,3192,58,Completed
B100143,P02,L019,SKU514,2025-02-27 17:02:00,2906,2878,54,Completed
B100144,P04,L025,SKU501,2025-01-13 10:58:00,9629,9527,186,Completed
B100145,P04,L018,SKU512,2023-05-27 11:23:00,2231,2109,96,Completed
B100146,P01,L021,SKU508,2024-09-25 12:03:00,2500,2315,33,Completed
B100147,P01,L027,SKU510,2023-11-24 18:36:00,5293,5073,88,Completed
B100148,P04,L032,SKU501,2024-01-29 07:57:00,3840,3654,106,Completed
B100149,P01,L004,SKU513,2025-02-02 19:14:00,16595,16429,540,Completed
B100150,P04,L023,SKU500,2025-01-27 19:45:00,4208,4216,128,Reworked
B100151,P02,L008,SKU513,2023-06-21 13:53:00,11422,10762,405,Reworked
B100152,P04,L007,SKU509,2023-10-04 20:22:00,14695,14295,1181,Reworked
B100153,P02,L026,SKU505,2025-01-09 05:40:00,13265,12257,33,Completed
B100154,P02,L003,SKU500,2025-04-05 07:03:00,13769,12962,758,Completed
B100155,P03,L028,SKU509,2023-03-13 03:53:00,8439,8406,883,Completed
B100156,P01,L025,SKU501,2025-01-20 05:37:00,17999,17987,1793,Completed
B100157,P03,L032,SKU509,2024-03-16 07:20:00,3236,3228,97,Completed
B100158,P03,L022,SKU511,2024-06-15 06:44:00,3931,3672,294,Completed
B100159,P04,L028,SKU504,2023-03-09 19:08:00,17410,16976,1801,Completed
B100160,P04,L004,SKU503,2024-09-04 07:44:00,3230,3108,78,Completed
B100161,P03,L029,SKU503,2024-09-02 02:43:00,5454,5558,318,Completed
B100162,P02,L006,SKU503,2024-08-19 10:25:00,5117,5042,60,Completed
B100163,P02,L011,SKU501,2024-12-12 12:59:00,2595,2630,94,Completed
B100164,P02,L005,SKU503,2025-05-01 10:49:00,4106,3837,22,Completed
B100165,P04,L013,SKU509,2025-02-03 20:56:00,12308,11878,688,Completed
B100166,P02,L024,SKU504,2024-11-01 07:19:00,13901,13861,123,Completed
B100167,P01,L009,SKU511,2025-06-02 03:15:00,3499,3347,62,Completed
B100168,P02,L027,SKU512,2024-08-30 02:08:00,18962,18644,1206,Scrapped
B100169,P01,L020,SKU511,2024-08-27 19:32:00,3723,3615,11,Completed
B100170,P01,L021,SKU508,2024-05-02 20:25:00,14366,14641,1179,Completed
B100171,P01,L031,SKU504,2024-11-23 03:44:00,16406,15378,508,Scrapped
B100172,P04,L014,SKU513,2023-03-06 05:43:00,11374,11527,307,Completed
B100173,P03,L012,SKU503,2024-03-31 04:22:00,10848,10415,201,Completed
B100174,P03,L032,SKU506,2024-01-18 18:56:00,3963,3831,338,Completed
B100175,P02,L018,SKU506,2025-04-01 11:07:00,6347,6174,193,Completed
B100176,P03,L020,SKU511,2023-03-07 07:18:00,17310,16384,1315,Scrapped
B100177,P01,L010,SKU508,2024-08-02 09:10:00,8275,8410,59,Completed
B100178,P04,L007,SKU511,2023-06-15 21:31:00,2620,2649,1,Completed
B100179,P03,L006,SKU513,2025-03-06 04:42:00,15126,15387,968,Completed
B100180,P04,L008,SKU505,2025-02-05 16:02:00,14305,14586,436,Reworked
B100181,P01,L007,SKU513,2023-07-31 21:45:00,3194,3152,24,Completed
B100182,P02,L024,SKU502,2025-02-23 12:50:00,2919,2817,93,Reworked
B100183,P03,L002,SKU513,2024-03-23 01:32:00,4096,4116,375,Completed
B100184,P02,L021,SKU502,2025-05-23 22:32:00,2916,2689,88,Completed
B100185,P02,L031,SKU512,2024-10-18 20:05:00,13092,13137,712,Completed
B100186,P01,L025,SKU505,2023-02-01 00:25:00,4387,4254,239,Completed
B100187,P02,L013,SKU514,2023-07-02 10:47:00,12925,12761,222,Completed
B100188,P01,L002,SKU501,2023-12-30 05:42:00,5170,4949,329,Completed
B100189,P02,L027,SKU506,2023-07-10 04:56:00,19504,18662,470,Completed
B100190,P03,L001,SKU513,2023-04-30 04:30:00,15066,13908,957,Completed
B100191,P03,L022,SKU500,2025-05-30 05:43:00,8741,8412,956,Scrapped
B100192,P03,L022,SKU503,2025-02-21 03:45:00,9716,9335,125,Completed
B100193,P02,L007,SKU501,2024-01-27 03:35:00,3171,2988,94,Reworked
B100194,P04,L024,SKU504,2023-07-13 12:35:00,2987,2821,275,Completed
B100195,P01,L006,SKU505,2023-06-13 15:12:00,11675,11422,311,Completed
B100196,P02,L008,SKU509,2025-04-04 04:40:00,2409,2292,82,Scrapped
B100197,P01,L026,SKU503,2023-10-26 07:37:00,13490,13530,447,Scrapped
B100198,P02,L032,SKU502,2023-01-12 08:06:00,8883,8271,113,Completed
B100199,P04,L009,SKU502,2023-12-24 15:19:00,4512,4411,389,Completed
B100200,P02,L030,SKU514,2024-02-13 21:44:00,11642,10896,450,Scrapped
B100201,P04,L030,SKU514,2024-07-14 18:38:00,11951,11626,404,Completed
B100202,P02,L025,SKU503,2023-11-01 19:38:00,15433,15051,129,Scrapped
B100203,P03,L005,SKU502,2025-04-10 17:06:00,5559,5471,85,Completed
B100204,P02,L010,SKU500,2024-08-02 04:25:00,11852,11410,325,Scrapped
B100205,P02,L022,SKU514,2025-06-06 22:20:00,17205,16705,1049,Scrapped
B100206,P04,L032,SKU510,2023-11-27 07:34:00,6859,6434,580,Completed
B100207,P04,L027,SKU511,2024-08-09 12:41:00,17032,16458,319,Completed
B100208,P02,L014,SKU504,2023-11-25 19:21:00,15020,14378,55,Completed
B100209,P04,L008,SKU509,2024-09-21 22:19:00,9733,9602,529,Reworked
B100210,P02,L031,SKU500,2024-11-02 02:47:00,17897,17243,428,Completed
B100211,P03,L009,SKU510,2023-10-17 15:30:00,19401,19360,1079,Reworked
B100212,P04,L011,SKU508,2025-04-23 21:42:00,6263,6028,442,Reworked
B100213,P02,L031,SKU504,2025-02-10 10:37:00,19635,18527,205,Completed
B100214,P03,L018,SKU510,2025-03-16 01:09:00,2043,1935,9,Completed
B100215,P02,L009,SKU509,2023-07-16 00:26:00,4326,3999,183,Completed
B100216,P01,L001,SKU506,2024-10-08 01:34:00,2777,2704,111,Completed
B100217,P01,L014,SKU502,2023-04-06 17:49:00,8618,8644,144,Completed
B100218,P02,L032,SKU500,2023-04-05 23:01:00,18865,18806,89,Completed
B100219,P04,L014,SKU514,2025-05-25 22:19:00,12805,12341,253,Reworked
B100220,P01,L023,SKU504,2023-05-18 14:37:00,13098,12307,236,Completed
B100221,P02,L009,SKU504,2025-02-16 17:23:00,3527,3549,45,Completed
B100222,P03,L025,SKU510,2024-01-23 17:20:00,11290,10450,161,Scrapped
B100223,P01,L025,SKU503,2023-10-01 06:44:00,8887,8530,337,Completed
B100224,P03,L020,SKU505,2023-03-08 03:33:00,10629,10689,55,Reworked
B100225,P02,L025,SKU510,2024-08-30 15:41:00,6701,6428,188,Completed
B100226,P04,L019,SKU508,2024-10-11 04:45:00,5628,5244,28,Scrapped
B100227,P03,L013,SKU509,2024-02-25 07:35:00,19136,18114,461,Reworked
B100228,P03,L024,SKU500,2024-12-29 22:47:00,12051,11810,563,Scrapped
B100229,P01,L027,SKU506,2023-10-18 19:34:00,9408,8798,213,Reworked
B100230,P02,L027,SKU507,2024-05-11 12:14:00,3328,3279,65,Completed
B100231,P04,L007,SKU509,2023-09-16 02:19:00,15728,15158,307,Completed
B100232,P01,L022,SKU502,2024-06-08 00:03:00,10506,10016,215,Reworked
B100233,P04,L001,SKU502,2023-05-03 10:11:00,8960,8459,70,Completed
B100234,P02,L019,SKU511,2024-03-04 13:12:00,14005,14037,408,Reworked
B100235,P03,L019,SKU510,2024-05-09 09:16:00,4372,4195,67,Completed
B100236,P03,L012,SKU512,2024-05-15 21:19:00,11597,11525,108,Reworked
B100237,P02,L032,SKU504,2024-02-06 22:29:00,17536,16905,76,Completed
B100238,P02,L029,SKU514,2024-08-02 05:08:00,10351,9618,258,Completed
B100239,P03,L002,SKU504,2024-04-05 23:13:00,2007,1934,13,Completed
B100240,P01,L007,SKU509,2023-09-12 21:55:00,6138,5958,66,Scrapped
B100241,P03,L007,SKU502,2023-07-13 19:42:00,3006,2903,13,Reworked
B100242,P01,L029,SKU513,2024-08-05 22:47:00,11003,11020,429,Completed
B100243,P03,L017,SKU504,2025-04-24 17:59:00,8558,8652,149,Completed
B100244,P03,L024,SKU512,2024-11-08 20:55:00,4383,4377,96,Scrapped
B100245,P01,L026,SKU504,2024-07-28 17:34:00,14364,14051,299,Completed
B100246,P04,L025,SKU511,2025-04-09 09:06:00,5178,5044,314,Completed
B100247,P02,L003,SKU506,2025-03-20 15:22:00,8150,8023,63,Completed
B100248,P04,L005,SKU500,2024-03-31 19:46:00,19778,18765,1088,Reworked
B100249,P01,L013,SKU502,2023-04-09 08:15:00,3193,3196,133,Completed
B100250,P01,L011,SKU510,2024-07-24 20:31:00,6458,6494,446,Completed
B100251,P02,L024,SKU502,2024-07-14 13:34:00,7721,7309,469,Completed
B100252,P01,L005,SKU504,2023-09-07 14:52:00,11157,11271,51,Completed
B100253,P02,L012,SKU508,2025-02-03 12:22:00,6409,6440,107,Reworked
B100254,P03,L008,SKU503,2025-02-21 22:56:00,19460,18729,245,Completed
B100255,P01,L007,SKU501,2023-10-25 19:53:00,2097,2119,93,Completed
B100256,P03,L006,SKU509,2024-03-05 04:08:00,19065,17769,407,Completed
B100257,P01,L007,SKU510,2023-06-25 15:05:00,11626,10728,80,Completed
B100258,P01,L019,SKU510,2023-06-10 12:23:00,2689,2567,11,Completed
B100259,P03,L014,SKU514,2023-08-27 12:27:00,4099,4002,59,Completed
B100260,P04,L014,SKU501,2023-11-26 05:00:00,3854,3681,38,Reworked
B100261,P01,L016,SKU506,2023-09-03 15:22:00,7174,7275,846,Completed
B100262,P02,L024,SKU503,2023-05-17 11:18:00,7995,7559,347,Completed
B100263,P04,L028,SKU513,2024-02-07 11:29:00,13541,12838,711,Scrapped
B100264,P04,L017,SKU508,2024-07-15 04:58:00,7601,7475,254,Reworked
B100265,P03,L021,SKU501,2023-10-21 08:48:00,15052,13853,39,Scrapped
B100266,P02,L024,SKU510,2024-04-25 04:39:00,7288,7235,37,Completed
B100267,P02,L023,SKU500,2023-09-02 03:31:00,6742,6457,351,Scrapped
B100268,P03,L005,SKU504,2024-09-25 11:23:00,6956,7079,134,Completed
B100269,P03,L032,SKU510,2024-08-06 15:51:00,7925,7838,301,Scrapped
B100270,P02,L006,SKU507,2025-05-14 01:18:00,17079,15801,1066,Reworked
B100271,P01,L014,SKU511,2023-02-17 17:29:00,6444,5988,164,Scrapped
B100272,P01,L021,SKU508,2025-02-06 19:49:00,6918,6425,254,Completed
B100273,P04,L013,SKU512,2023-11-03 07:51:00,19223,19516,345,Completed
B100274,P02,L008,SKU508,2023-03-01 10:35:00,13767,13607,805,Reworked
B100275,P02,L030,SKU500,2024-09-12 18:38:00,5429,5226,124,Completed
B100276,P02,L003,SKU501,2023-06-04 13:09:00,17627,16570,720,Scrapped
B100277,P04,L008,SKU511,2023-06-08 06:21:00,5297,5336,123,Reworked
B100278,P01,L032,SKU500,2025-05-31 16:30:00,4918,4623,39,Completed
B100279,P01,L024,SKU505,2023-07-18 20:02:00,10010,9916,912,Completed
B100280,P02,L003,SKU500,2024-05-07 10:43:00,14442,14389,676,Reworked
B100281,P02,L025,SKU504,2023-06-30 14:23:00,5407,5133,208,Completed
B100282,P03,L032,SKU508,2023-04-22 14:11:00,15559,15099,178,Completed
B100283,P02,L004,SKU502,2023-01-01 20:00:00,4820,4541,106,Scrapped
B100284,P02,L014,SKU506,2023-01-15 10:39:00,16071,15394,171,Completed
B100285,P04,L015,SKU514,2024-03-02 09:23:00,3725,3786,64,Completed
B100286,P01,L005,SKU501,2024-01-26 14:24:00,10359,10248,650,Completed
B100287,P03,L007,SKU500,2023-02-05 01:30:00,13523,13586,742,Completed
B100288,P03,L006,SKU504,2023-11-11 15:11:00,6780,6604,549,Completed
B100289,P02,L006,SKU512,2023-09-03 15:29:00,13017,12286,242,Completed
B100290,P04,L013,SKU506,2024-05-29 04:31:00,14395,14269,25,Completed
B100291,P02,L015,SKU509,2025-06-14 07:45:00,13702,13291,478,Completed
B100292,P04,L008,SKU500,2024-09-14 11:25:00,9144,8574,353,Reworked
B100293,P02,L010,SKU511,2025-04-06 13:21:00,15919,15302,356,Completed
B100294,P03,L007,SKU501,2023-06-23 00:04:00,15169,14918,288,Completed
B100295,P03,L026,SKU510,2023-07-13 13:38:00,7874,7823,302,Completed
B100296,P04,L007,SKU502,2024-11-06 17:27:00,15201,14354,708,Completed
B100297,P02,L030,SKU512,2023-10-07 00:03:00,18531,18671,112,Completed
B100298,P02,L018,SKU504,2025-02-02 21:26:00,16700,15997,19,Completed
B100299,P01,L026,SKU502,2024-02-22 08:01:00,15197,14393,149,Completed
B100300,P02,L021,SKU505,2023-06-30 17:44:00,15797,14841,206,Completed
B100301,P04,L009,SKU500,2025-01-29 23:19:00,16484,16490,115,Completed
B100302,P01,L020,SKU502,2024-05-10 09:55:00,7204,6882,17,Reworked
B100303,P04,L009,SKU508,2024-12-23 09:09:00,14977,14502,119,Completed
B100304,P03,L004,SKU504,2024-02-12 00:23:00,5589,5266,99,Completed
B100305,P01,L009,SKU505,2023-04-24 14:48:00,8452,8355,342,Completed
B100306,P02,L009,SKU512,2024-09-04 22:22:00,18821,18785,521,Completed
B100307,P03,L005,SKU501,2023-04-23 00:05:00,7094,6767,247,Completed
B100308,P02,L001,SKU505,2024-08-19 23:04:00,17185,17434,124,Scrapped
B100309,P01,L031,SKU502,2024-01-11 01:25:00,9605,8866,483,Reworked
B100310,P03,L017,SKU507,2024-12-13 09:02:00,5777,5391,296,Completed
B100311,P03,L013,SKU504,2025-02-22 02:03:00,3746,3666,322,Completed
B100312,P01,L030,SKU500,2024-01-02 15:14:00,11867,11749,289,Completed
B100313,P02,L008,SKU501,2025-03-04 21:02:00,10123,9566,1062,Scrapped
B100314,P01,L013,SKU512,2023-04-10 19:25:00,11204,10928,440,Completed
B100315,P03,L028,SKU500,2023-04-07 15:06:00,2776,2642,79,Reworked
B100316,P03,L021,SKU511,2025-06-13 04:26:00,6826,6658,270,Completed
B100317,P03,L013,SKU513,2024-05-31 20:49:00,2071,2041,93,Completed
B100318,P04,L009,SKU506,2024-02-10 15:24:00,7444,7572,593,Scrapped
B100319,P04,L002,SKU504,2023-05-21 02:35:00,18766,18119,586,Completed
B100320,P02,L003,SKU511,2023-09-18 02:21:00,4741,4669,50,Reworked
B100321,P01,L006,SKU514,2024-09-09 12:23:00,14408,14088,128,Completed
B100322,P03,L026,SKU501,2025-01-09 13:00:00,2104,2002,139,Scrapped
B100323,P04,L021,SKU514,2025-04-04 18:57:00,12113,11450,572,Completed
B100324,P04,L014,SKU514,2024-01-02 23:02:00,18576,18924,1630,Completed
B100325,P01,L026,SKU502,2024-02-14 07:01:00,8139,7656,95,Scrapped
B100326,P01,L006,SKU500,2023-05-27 23:14:00,5548,5542,117,Reworked
B100327,P01,L007,SKU510,2023-03-16 18:35:00,12269,11467,769,Reworked
B100328,P01,L013,SKU501,2024-01-30 01:34:00,7021,7024,315,Completed
B100329,P03,L030,SKU509,2024-06-05 07:53:00,18048,16939,829,Reworked
B100330,P03,L020,SKU500,2023-04-04 21:13:00,17281,17569,2460,Scrapped
B100331,P02,L028,SKU510,2024-01-03 15:57:00,13742,13585,261,Reworked
B100332,P02,L008,SKU503,2024-07-31 09:45:00,13502,12543,400,Completed
B100333,P04,L028,SKU501,2024-12-30 19:24:00,12844,12706,689,Scrapped
B100334,P02,L003,SKU500,2025-04-24 15:19:00,15235,14935,1075,Completed
B100335,P04,L008,SKU502,2023-11-03 07:26:00,10283,9807,101,Scrapped
B100336,P04,L017,SKU508,2023-12-19 13:18:00,19455,18405,500,Completed
B100337,P02,L002,SKU501,2025-02-26 09:46:00,8222,8155,148,Completed
B100338,P01,L028,SKU512,2024-09-15 22:37:00,2160,2147,16,Completed
B100339,P04,L028,SKU509,2023-09-04 07:55:00,14573,13883,350,Completed
B100340,P03,L018,SKU504,2024-09-08 15:04:00,13920,14026,420,Reworked
B100341,P02,L010,SKU514,2023-05-22 18:22:00,19657,18612,742,Completed
